Keyword Group,Keyword,Search Intent,Priority,Current Ranking,Target URL,Notes
BRAND_TRUST,signaalmakers ervaringen,Informational,MEDIUM,Monitor,https://signaalmakers.nl/,Reviews/testimonials
BRAND_TRUST,signaalmakers review,Informational,MEDIUM,Monitor,https://signaalmakers.nl/,Reviews
BRAND_TRUST,signaalmakers recensies,Informational,MEDIUM,Monitor,https://signaalmakers.nl/,Reviews
BRAND_TRUST,signaalmakers beoordeling,Informational,LOW,Monitor,https://signaalmakers.nl/,Rating

BRAND_TRANSACTIONAL,signaalmakers offerte,Transactional,HIGH,Monitor,https://signaalmakers.nl/offerte,Direct actie
BRAND_TRANSACTIONAL,signaalmakers bekabeling offerte,Transactional,HIGH,Monitor,https://signaalmakers.nl/offerte,Specifieke offerte
BRAND_TRANSACTIONAL,signaalmakers prijs bekabeling,Transactional,MEDIUM,Monitor,https://signaalmakers.nl/offerte,Prijsinformatie
BRAND_TRANSACTIONAL,signaalmakers databekabeling kosten,Transactional,MEDIUM,Monitor,https://signaalmakers.nl/offerte,Kostenoverzicht
BRAND_TRANSACTIONAL,signaalmakers netwerkbekabeling kosten,Transactional,MEDIUM,Monitor,https://signaalmakers.nl/offerte,Kostenoverzicht
BRAND_TRANSACTIONAL,signaalmakers contact,Navigational,HIGH,Monitor,https://signaalmakers.nl/contact,Contactpagina
